people_name_sponsors,bipartisan_rate1,bipartisan_rate2,weighted_bipartisan_rate2,bipartisan_rate3,weighted_bipartisan_rate3,bills_sponsored,introduced_num,passed_num,failed_num,vetoed_num,engrossed_num,enrolled_num,total_bills
Loni Hancock,0.31627798507462684,0.227738539445629,0.2611051883439943,0.12643010577121602,0.2024632138092904,478,57,249,41,57,73,1,17510
Kristin Olsen,0.6848556890223557,0.4120453787120454,0.3420837504170838,0.29641827019855327,0.2698086558964659,336,72,113,115,17,18,1,12845
K H Achadjian,0.6112418374593838,0.41928276486226596,0.405985129877884,0.30895067628178574,0.28901221375237807,244,49,109,64,7,15,0,12845
Nora Campos,0.23315980336154818,0.14759784320853023,0.1705310622976926,0.09411833472430227,0.13274787585049777,334,23,135,90,20,65,1,12845
Roger Hernandez,0.24042114403560189,0.13073917290784762,0.178823401714968,0.08881747696883582,0.13947734470667855,231,37,106,44,17,26,1,12845
Robert Huff,0.5672041963592973,0.3956912404785937,0.32693294975372583,0.27109975708805634,0.26160100632968364,376,98,138,104,17,19,0,17510
Young Kim,0.6666666666666666,0.5161290322580645,0.43010752688172044,0.35573424484714816,0.33815785197750015,93,0,35,55,3,0,0,4377
Susan Bonilla,0.28117133905903957,0.17309053097823152,0.20177983038945607,0.12032294062639973,0.14741847728959911,343,35,179,53,31,44,1,12845
Lois Wolk,0.38698556345615165,0.28003966009480713,0.3225715767076061,0.18645091948736567,0.2466480608198004,367,45,206,45,38,32,1,17510
Isadore Hall,0.4126166034211181,0.2758817553729068,0.2937680127662794,0.17469330652782156,0.22707847113892626,340,27,188,49,33,41,2,17510
Carol Liu,0.3317860073002478,0.2549172722300359,0.28218994876431586,0.1436659967959309,0.21831898765416247,324,54,173,38,24,33,2,17510
Fran Pavley,0.3295553839364519,0.21732899382171225,0.26983781994704326,0.13247793571855765,0.19915531619926866,391,44,225,44,37,40,1,17510
Richard Gordon,0.19397522522522523,0.12477477477477478,0.14436936936936937,0.09426231289651518,0.10561315833927737,468,19,249,92,18,89,1,12845
Patty Lopez,0.32,0.18666666666666668,0.21333333333333335,0.13983944077365132,0.16500616468858095,75,1,39,25,10,0,0,4377
Donald Wagner,0.35620515035879713,0.19694842441260468,0.159796721626227,0.13027254237302652,0.125436073241997,230,77,55,71,11,16,0,12845
Beth Gaines,0.4522815088324607,0.25252464110246864,0.18217265417713346,0.17127379724650918,0.16859506814774106,159,51,50,41,8,9,0,12845
David Hadley,0.5614035087719298,0.3684210526315789,0.3508771929824561,0.26213376048902365,0.26608478705268973,57,0,19,34,4,0,0,4377
Sharon Runner,0.4427333230150131,0.2672186967961616,0.18186039312799876,0.18469619127276565,0.1585085955455442,162,46,41,55,9,11,0,8650
Mimi Walters,0.2642230192750707,0.22046287386152663,0.18688216254046014,0.14214595593370494,0.15325740916281813,207,109,57,22,5,14,0,17510
