bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1974548,1538960,2025-04-07,Senate,"Placed on suspense file",7,0,0,0,7
1974549,1545070,2025-04-09,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations] with the recommendation: To Consent Calendar",11,0,0,0,11
1974549,1559462,2025-04-28,Senate,"Placed on suspense file",7,0,0,0,7
1974549,1577504,2025-05-23,Senate,"Do pass",6,0,0,1,7
1974550,1567878,2025-05-06,Senate,"Do pass and be ordered to the Consent Calendar",12,0,0,1,13
1974550,1572405,2025-05-15,Senate,"Consent Calendar 2nd SB440 Ochoa Bogh et al",34,0,0,6,40
1974551,1556176,2025-04-23,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",3,0,0,5,8
1974551,1556177,2025-04-23,Senate,"[First] hearing set for [04-23-2025]: Failed passage in Committee. Reconsideration granted",8,0,0,0,8
1974552,1528311,2025-03-26,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Judiciary]",4,1,0,0,5
1974552,1565365,2025-05-05,Senate,"Placed on suspense file",7,0,0,0,7
1974552,1577325,2025-05-23,Senate,"Do pass",5,1,0,1,7
1974553,1528259,2025-03-26,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",5,0,0,0,5
1974554,1540881,2025-04-07,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",5,0,0,0,5
1974554,1552938,2025-04-21,Senate,"Placed on suspense file",6,0,0,1,7
1974554,1577699,2025-05-23,Senate,"Do pass",6,0,0,1,7
1974554,1581701,2025-05-29,Senate,"Special Consent SB444 Hurtado",38,0,0,2,40
1974555,1554523,2025-04-22,Senate,"Do pass, but first be re-referred to the Committee on [Local Government]",13,0,0,2,15
1974555,1580536,2025-05-28,Senate,"Senate 3rd Reading SB445 Wiener et al",34,1,0,5,40
1974556,1534989,2025-04-01,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",12,0,0,1,13
1974556,1580545,2025-05-28,Senate,"Senate 3rd Reading SB446 Hurtado",39,0,0,1,40
1974557,1528275,2025-03-26,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",5,0,0,0,5
1974557,1538911,2025-04-07,Senate,"Placed on suspense file",7,0,0,0,7
1974557,1577652,2025-05-23,Senate,"Do pass",6,0,0,1,7
1974557,1581687,2025-05-29,Senate,"Special Consent SB447 Umberg",38,0,0,2,40
1974558,1540883,2025-04-08,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Judiciary]",6,0,0,0,6
1974558,1562798,2025-04-29,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",13,0,0,0,13
1974558,1569845,2025-05-12,Senate,"Placed on suspense file",7,0,0,0,7
1974560,1535047,2025-04-01,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",11,0,0,2,13
1974560,1552919,2025-04-21,Senate,"Placed on suspense file",6,0,0,1,7
1974560,1577612,2025-05-23,Senate,"Do pass",5,1,0,1,7
1974560,1581681,2025-05-29,Senate,"Senate 3rd Reading SB450 Menjivar",28,8,0,4,40
1974561,1540871,2025-04-08,Senate,"Do pass, but first be re-referred to the Committee on [Public Safety] with the recommendation: To Consent Calendar",15,0,0,0,15
1974561,1552838,2025-04-21,Senate,"Placed on suspense file",6,0,0,1,7
1974561,1577207,2025-05-23,Senate,"Do pass as amended",6,0,0,1,7
1974562,1540827,2025-04-07,Senate,"Do pass, but first be re-referred to the Committee on [Judiciary]",5,0,0,0,5
1974562,1556029,2025-04-22,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",13,0,0,0,13
1974562,1565280,2025-05-05,Senate,"Placed on suspense file",7,0,0,0,7
1974562,1577748,2025-05-23,Senate,"Do pass",6,0,0,1,7
1974562,1581678,2025-05-29,Senate,"Special Consent SB452 Weber Pierson",38,0,0,2,40
1976395,1542917,2025-04-09,Assembly,"Do pass as amended, and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",7,0,0,0,7
1976395,1562805,2025-04-30,Assembly,"Do pass. To Consent Calendar",14,0,0,1,15
1976395,1568619,2025-05-08,Assembly,"AB 808 Addis Consent Calendar Second Day Regular Session",69,0,0,10,79
1976396,1526893,2025-03-25,Assembly,"Do pass as amended, and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",9,0,0,0,9
1976397,1542870,2025-04-09,Assembly,"Do pass as amended and be re-referred to the Committee on [Privacy and Consumer Protection]",9,1,0,0,10
1976397,1556202,2025-04-22,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",12,0,0,3,15
1976398,1545055,2025-04-09,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",9,0,0,0,9
1976399,1526925,2025-03-25,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",8,0,0,1,9
1976399,1577753,2025-05-23,Assembly,"Do pass as amended",11,1,0,3,15
1976402,1556184,2025-04-23,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",17,0,0,0,17
1976402,1571649,2025-05-14,Assembly,"Do pass",15,0,0,0,15
1976402,1577519,2025-05-23,Assembly,"AB 815 Ortega Assembly Third Reading",72,0,0,7,79
1976404,1535099,2025-04-02,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",21,0,0,1,22
1976404,1563103,2025-04-30,Assembly,"Do pass. To Consent Calendar",14,0,0,1,15
1976404,1568631,2025-05-08,Assembly,"AB 817 Nguyen Consent Calendar Second Day Regular Session",69,0,0,10,79
1976405,1555985,2025-04-23,Assembly,"Do pass as amended and be re-referred to the Committee on [Housing and Community Development]",10,0,0,0,10
1976405,1562811,2025-04-30,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",10,0,0,2,12
1976405,1571640,2025-05-14,Assembly,"Do pass. To Consent Calendar",15,0,0,0,15
1976405,1577544,2025-05-23,Assembly,"AB 818 Ávila Farías Consent Calendar Second Day Regular Session",71,0,0,8,79
1976408,1545039,2025-04-09,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",9,0,0,0,9
1976408,1577209,2025-05-23,Assembly,"Do pass",14,0,0,1,15
1976409,1540791,2025-04-08,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",5,0,0,1,6
1976409,1577183,2025-05-23,Assembly,"Do pass",11,1,0,3,15
1976410,1538871,2025-04-07,Assembly,"Do pass as amended and be re-referred to the Committee on [Environmental Safety and Toxic Materials]",10,4,0,0,14
1976410,1561093,2025-04-29,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",6,0,0,1,7
1976410,1577616,2025-05-23,Assembly,"Do pass as amended",11,1,0,3,15
1976411,1535067,2025-04-01,Assembly,"Do pass and be re-referred to the Committee on [Judiciary] with recommendation: To Consent Calendar",9,0,0,0,9
1976411,1540793,2025-04-08,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",12,0,0,0,12
1976411,1577537,2025-05-23,Assembly,"Do pass",14,0,0,1,15
1976412,1564208,2025-04-30,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",18,0,0,0,18
1976412,1577352,2025-05-23,Assembly,"Do pass as amended",11,0,0,4,15
1976413,1545030,2025-04-08,Assembly,"Do pass and be re-referred to the Committee on [Judiciary]",8,0,0,0,8
1976414,1563083,2025-04-30,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",4,0,0,3,7
1976414,1577839,2025-05-23,Assembly,"Do pass",11,0,0,4,15
1976415,1556081,2025-04-23,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",22,0,0,0,22
1976415,1571526,2025-05-14,Assembly,"Do pass",15,0,0,0,15
